t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
5,0,2.92476394480399e-15,0,0,0,-1.06885061105792e-15,0,0,31.8825,31.8825,0,6.07306341967511e-15,0,0,0,2.42920593422254e-15,0,0,31.8825,31.8825,0,6.07306341967511e-15,0,0,0,2.42920593422254e-15,0,0,31.8825,31.8825
5.1,0,2.81059126589553e-15,0,0,0,-1.21460296711128e-15,0,0,31.8825,31.8825,0,6.3183646349129e-15,0,0,0,2.47779005290698e-15,0,0,31.8825,31.8825,0,6.3183646349129e-15,0,0,0,2.47779005290698e-15,0,0,31.8825,31.8825
5.2,0,2.68184335138173e-15,0,0,0,-1.36035532316464e-15,0,0,31.8825,31.8825,0,6.56862143025651e-15,0,0,0,2.52637417159143e-15,0,0,31.8825,31.8825,0,6.56862143025651e-15,0,0,0,2.52637417159143e-15,0,0,31.8825,31.8825
5.3,0,2.5385202012626e-15,0,0,0,-1.50610767921799e-15,0,0,31.8825,31.8825,0,6.82368805334987e-15,0,0,0,2.57495829027588e-15,0,0,31.8825,31.8825,0,6.82368805334987e-15,0,0,0,2.57495829027588e-15,0,0,31.8825,31.8825
5.4,0,2.38062181553814e-15,0,0,0,-1.65186003527135e-15,0,0,31.8825,31.8825,0,7.083564504193e-15,0,0,0,2.62354240896033e-15,0,0,31.8825,31.8825,0,7.083564504193e-15,0,0,0,2.62354240896033e-15,0,0,31.8825,31.8825
5.5,0,2.20814819420833e-15,0,0,0,-1.7976123913247e-15,0,0,31.8825,31.8825,0,7.34839653514194e-15,0,0,0,2.67212652764478e-15,0,0,31.8825,31.8825,0,7.34839653514194e-15,0,0,0,2.67212652764478e-15,0,0,31.8825,31.8825
5.6,0,2.0210993372732e-15,0,0,0,-1.94336474737805e-15,0,0,31.8825,31.8825,0,7.61803839384064e-15,0,0,0,2.72071064632922e-15,0,0,31.8825,31.8825,0,7.61803839384064e-15,0,0,0,2.72071064632922e-15,0,0,31.8825,31.8825
5.7,0,1.81947524473272e-15,0,0,0,-2.08911710343141e-15,0,0,31.8825,31.8825,0,7.8924900802891e-15,0,0,0,2.76929476501367e-15,0,0,31.8825,31.8825,0,7.8924900802891e-15,0,0,0,2.76929476501367e-15,0,0,31.8825,31.8825
5.8,0,1.60327591658691e-15,0,0,0,-2.23486945948476e-15,0,0,31.8825,31.8825,0,8.17189734684337e-15,0,0,0,2.81787888369812e-15,0,0,31.8825,31.8825,0,8.17189734684337e-15,0,0,0,2.81787888369812e-15,0,0,31.8825,31.8825
5.9,0,1.37250135283577e-15,0,0,0,-2.38062181553811e-15,0,0,31.8825,31.8825,0,8.45611444114741e-15,0,0,0,2.86646300238257e-15,0,0,31.8825,31.8825,0,8.45611444114741e-15,0,0,0,2.86646300238257e-15,0,0,31.8825,31.8825
6,0,1.12715155347929e-15,0,0,0,-2.52637417159146e-15,0,0,31.8825,31.8825,0,8.7451413632012e-15,0,0,0,2.91504712106702e-15,0,0,31.8825,31.8825,0,8.7451413632012e-15,0,0,0,2.91504712106702e-15,0,0,31.8825,31.8825
